prompt,target,ngram,seq2seq,gpt2,t5
"'Lost Daughter,' 'Drive My Car' Win Top Prizes At Independent Spirit Awards
Joke:",Indie films won awards. That's the movies people actually watch winning.,,A Lost Daughter won awards for survival—that's the vibe for television nostalgia.,'Lost Daughter' won awards—that's the power of the competition.,That's what the longest daughter's ever had—that's the way people's made the race.
"2 Women Dead After Car Crashes Into D.C. Restaurant's Outdoor Patio
Joke:",A car crashed into a restaurant. That's dining and dashing with casualties.,,"A car hit a restaurant—finally, justice is just a metaphor for someone died.",Two women died—and the restaurant was shaking.,That's two women dead after a car crashes into a restaurant—that's not the 'no-serious thing'.
"Giant White Python Appears On The MTV Stage -- Without Britney Spears
Joke:","A python showed up on MTV—finally, a reptile that's more famous than Britney deserves.",,A python appeared on MTV -- without Britney Spears.,A giant white python was on the MTV stage and Britney sang her best song.,The world's all about it—that's just a giant white Python.
"Tom Brady Takes Batting Practice. Gronk Shags The Balls. Enough Said.
Joke:",Brady's swinging and Gronk's chasing—that's basically their entire relationship.,,Brady took a hit and Gronk's hitting for the world. Very brave move.,Brady's hitting—it's all Gronk's fault.,Tom Brady took the ball—that's all the trouble.
"Ukraine Documents Alleged Atrocities By Retreating Russians
Joke:",Ukraine's documenting war crimes. That's evidence with Instagram Stories.,,Ukrainians were getting honor—mostly because Putin gave away valuable secrets.,Ukraine's documenting the torture—that's Russia's way of saying 'you're innocent until proven guilty.',Ukraine said Russians were murdered—then they retreated.
"Biden Budget Seeks Minimum Tax On Households Worth $100 Million
Joke:",Biden wants to tax billionaires. That'll never pass but points for trying.,,Biden budget wants a $100 million cut for families. That's the best money ever.,Biden's budget wants minimum tax on households earning more than $100 million. ​,Biden is begging for a $100 million tax on homes. That's why he's spending a lot more than a billion dollars.
"Former White House Counsel Pat Cipollone To Testify Before Grand Jury: Reports
Joke:",He's finally spilling the tea—hope the jury brought big cups.,,Pat Cipollone got to testify before grand jurors—that's the most thorough justice of the indictment.,Cipollone's going to be testifying—that's history.,'Palatina had to testify before grand jury—it's no secret she was going to testify.'
"Steve Bannon Blasts Murdoch, Saying His Media Empire Is Dumping Trump For DeSantis
Joke:",Bannon's mad Murdoch's leaving Trump—loyalty issues in the GOP.,,Bannon's attacking Murdoch—that's imperialism in disguise.,Bannon's bashing Murdoch—that's basically saying 'we're going to ruin your life.',He blamed Murdoch for making Trump—even when they had a big deal with the media.
"Donald Trump Is Back On Twitter
Joke:",Trump's back on Twitter—buckle up.,,Trump's back on Twitter—mostly because Trump hates me too much to take a crack at him.,He's back on Twitter—he's literally making decisions.,Donald Trump's back on Twitter. That's pretty clear.
"New York City To Let Unvaccinated Athletes Play Home Games
Joke:",NYC's letting unvaccinated athletes play. Politics over public health.,,NYC allowed sports—that's not inclusion in an America where the police don't give out vaccines.,New York City's letting athletes compete in sports. Very competitive sports.,New York told the kids that they're vaccinated—and they're killing them again.
"Prince Louis Steals The Show Again With Iconic Antics At Platinum Jubilee
Joke:",Prince Louis stole the show—again with his face doing all the work.,,A royal magician stole the show—but even royalty must take notice.,He's on the show—and he steals Oscars with it.,"Prince Louis screamed, The Show was fun—so this is all for a party... we're a great singer, but the actress never got on stage."
"Ex-Trump Aide Stephen Miller Speaks To 1/6 Panel
Joke:",Stephen Miller finally talked to the panel—that's basically admitting something.,,Miller said Trump's a friend—and now he's speaking directly to the panel—of a guy who actually disagrees.,"Miller said the panel did a good job, but the panel did not do much good.","Stephen told the panel: He said ""this was a frightened conspiracy."""
"House Approves Ban On Russian Oil To U.S., Bolstering Biden
Joke:",Congress banned Russian oil. That's the one thing they agreed on—hate Russia.,,The House approved Russian oil—that's obstruction with a smile.,Russia wants oil and gas—that's diplomacy as we know it.,Democrat lawmakers approve ban on Russian oil—the debate over oil is still the only one.
"Charles Barkley: 'If You're Gay Or Transgender, I Love You!'
Joke:",Chuck said he loves everyone—finally some sense from sports.,,Barkley said gay—that's the gay version of accepting everyone.,He's saying 'I don't love you' when you're trans—the whole idea is awkward.,"Charles said, If you're gay, I'll love you. I replied, No, I'm a transsexual, but I'm a transgender."
"Mariah Carey Brings Big, Big Energy To Latto's 2022 BET Awards Performance
Joke:",Mariah brought the energy—and the outfit.,,Mariah's hosting a BET performance—and the crowd at home couldn't watch that.,She's bringing energy—big energy—and talent for making sure everyone knows it.,Mariah’s pulling energy to Latto's 2022 TED show—that's her big show.
"Joe Biden Slaps Down Question From Fox News' Peter Doocy: 'You Got To Be Silly'
Joke:",Biden told a Fox reporter they're being silly. The President's doing the media's job.,,Biden said Silly—Fox called. The White House called back. It's called irony.,"Biden slaps down an answer from Fox. That's saying, 'You're kidding.'","Joe asked Peter, 'You got to be silent.' He asked, What? He replied, I was stupid."
"Mike Bossy, Islanders Great And 4-Time Stanley Cup Champion, Dies At 65
Joke:",Mike Bossy died—he was a legend and hockey's lost one of its greats.,,"The guy who won the Stanley Cup probably just asked, Why am I so legendary?",Bossy was great—he died in 1995.,Bossy is a Stanley Cup winner and is still the squabble-leader.
